loan_amount,loan_repaid,crop_insured,years_of_exp_in_sericulture,training_on_sericulture,krishi_pond,borewell_recharge,rain_harvesting,own_compost_manure,own_vermi_compost,trenching_mulching,bio_fertilizers,mechanization,mulberry_diseases,affected_by_pest,rearing_cost,instrument_mgmt_cost,temp_mgmt,humidity_mgmt,airvent_temp_mgmt,rotary_mounting,seri_total_subsidy,income_per_acre,chawki_bivol,rearing_cost_missing
0,1,0,30,0,0,0,0,0,0,0,1,0,1,1,40000,3000,1,1,1,0,70000,90909.09091,0,40000
35000,0,0,20,0,0,0,0,0,0,0,1,1,0,1,50000,5000,1,1,1,0,28000,40000,0,50000
40000,1,0,30,1,0,0,0,1,0,0,1,0,1,1,50000,1000,1,1,1,1,0,32051.28205,0,50000
250000,1,0,25,1,0,0,0,0,0,0,1,1,1,1,75000,1500,1,1,1,0,80000,48000,0,75000
50000,0,0,30,1,0,0,0,1,0,0,1,1,0,1,25000,1000,1,1,1,0,12000,14285.71429,0,25000
2.00E+05,0,0,20,0,0,0,0,1,0,0,0,0,1,1,10000,400,1,1,1,0,35000,12903.22581,0,10000
150000,0,0,10,1,0,0,0,0,0,1,0,0,1,1,50000,10000,1,1,1,0,8.00E+05,25000,0,50000
0,1,0,10,0,0,0,0,1,1,0,1,1,1,1,25000,10000,1,1,1,0,0,16666.66667,0,25000
0,1,0,30,0,0,0,0,0,0,0,1,1,1,1,45000,3000,1,1,1,0,0,41666.66667,0,45000
25000,1,0,20,0,0,0,0,1,0,1,1,1,1,1,80000,2500,1,1,1,0,0,11111.11111,0,80000
0,1,0,20,1,1,0,0,1,0,0,1,0,1,1,35000,5000,1,1,1,0,0,16666.66667,0,35000
0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,30000,2000,1,1,1,0,0,50000,0,30000
0,1,0,40,1,0,0,0,1,0,0,1,1,1,1,50000,5000,1,1,1,0,0,60000,0,50000
0,1,0,30,1,0,0,0,1,0,0,1,1,1,1,40000,3000,1,1,1,0,0,16666.66667,0,40000
0,1,0,30,0,0,0,0,0,0,0,1,1,0,0,20000,1000,1,1,1,0,40000,15384.61538,0,20000
0,1,0,15,0,0,0,0,0,0,1,1,1,1,1,30000,5000,1,1,1,0,50000,61538.46154,0,30000
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,20000,1000,1,1,1,0,40000,57142.85714,0,20000
0,1,0,15,0,0,0,0,0,0,0,1,0,1,1,30000,2000,1,1,1,0,0,18000,0,30000
0,1,0,20,0,0,0,0,1,0,0,1,0,1,1,50000,2000,1,1,1,0,40000,16666.66667,0,50000
0,1,0,15,0,0,0,0,1,0,0,1,1,1,1,50000,20000,1,1,1,0,25000,50000,0,50000
50000,1,0,20,0,0,0,0,0,0,0,1,0,1,1,50000,3000,0,0,0,0,50000,8333.333333,0,50000
95000,1,0,30,0,0,0,0,0,0,0,1,1,1,1,16000,1000,1,1,1,0,0,-41666.66667,0,16000
0,1,0,5,0,0,0,0,1,0,0,1,1,1,1,40000,2000,1,1,1,0,0,1.00E+05,0,
0,1,0,6,1,0,0,0,1,0,0,0,0,1,1,4500,4000,1,1,1,0,0,0,0,4500
0,1,0,40,0,0,0,0,1,1,0,1,1,1,1,47000,2500,1,1,1,0,75000,75000,0,47000
0,1,0,15,1,0,0,0,1,0,0,1,1,1,1,50000,2000,1,1,1,0,40000,20000,0,50000
0,1,0,10,0,0,0,0,1,1,0,1,1,1,1,40000,3000,1,1,1,0,0,95238.09524,0,40000
0,1,0,12,0,0,0,0,1,0,0,0,1,1,1,50000,3000,1,1,1,0,150000,1.00E+05,0,50000
0,1,0,30,0,0,0,0,1,0,0,0,1,1,1,30000,1600,1,1,1,0,20000,8333.333333,0,30000
2.00E+05,0,0,20,0,0,0,0,1,0,0,1,1,1,1,1.00E+05,2000,1,1,1,0,125000,40000,0,1.00E+05
160000,0,0,40,0,0,0,0,1,0,0,1,1,1,1,30000,5000,1,1,1,0,0,20000,0,30000
60000,0,0,15,1,0,0,0,1,0,0,1,1,1,1,80000,11500,0,0,1,0,0,75000,0,80000
250000,1,0,20,0,0,0,0,0,0,0,1,0,1,1,50000,2000,1,1,1,0,75000,16666.66667,0,50000
225000,0,0,40,1,0,1,0,0,0,0,1,1,1,1,30000,1200,1,1,1,0,30000,-9615.384615,0,30000
2.00E+05,0,0,30,0,0,0,0,1,0,0,1,1,1,1,40000,2000,1,1,1,0,17000,12500,0,40000
0,1,0,15,0,0,0,0,1,0,0,0,0,1,1,20000,2000,1,1,1,0,0,15000,0,20000
